applicant_id,gender,age,marital_status,dependents,education,employment_status,occupation_type,residential_status,address_state
1,Female,25,Married,2,Graduate,Employed,Business,Own,GA
2,Male,36,Married,2,High School,Employed,Business,Own,CA
3,Male,43,Single,0,Postgraduate,Self-Employed,Freelancer,Own,CA
4,Female,28,Married,0,High School,Self-Employed,Freelancer,Rent,TX
5,Female,32,Single,0,Graduate,Employed,Salaried,Rent,IL
6,Male,49,Single,2,Postgraduate,Employed,Freelancer,Own,CA
7,Female,41,Married,0,High School,Employed,Salaried,Own,TX
8,Female,52,Single,2,Postgraduate,Employed,Business,Own,PA
9,Male,27,Single,1,Graduate,Self-Employed,Freelancer,Rent,FL
10,Male,61,Single,3,Postgraduate,Employed,Freelancer,Own,MI
11,Female,32,Married,3,Postgraduate,Self-Employed,Salaried,Rent,TX
12,Female,38,Married,2,Postgraduate,Employed,Professional,Rent,CA
13,Male,54,Married,3,Graduate,Employed,Business,Own,CA
14,Male,39,Single,2,Postgraduate,Self-Employed,Salaried,Rent,CA
15,Male,32,Divorced,0,High School,Employed,Freelancer,Own,IL
16,Female,37,Single,2,High School,Employed,Salaried,Own,RI
17,Female,46,Single,0,Postgraduate,Self-Employed,Salaried,Rent,TX
18,Male,30,Single,0,High School,Employed,Salaried,Other,NY
19,Female,47,Married,2,Graduate,Employed,Salaried,Own,FL
20,Female,34,Married,2,Postgraduate,Employed,Freelancer,Rent,MD
21,Male,25,Married,1,Graduate,Employed,Salaried,Rent,WI
22,Female,33,Single,0,Graduate,Employed,Professional,Rent,FL
23,Female,29,Married,2,Postgraduate,Employed,Freelancer,Own,MI
24,Female,48,Married,1,High School,Self-Employed,Freelancer,Own,MD
25,Female,36,Married,0,High School,Unemployed,Salaried,Own,NV
26,Male,62,Single,3,Postgraduate,Employed,Freelancer,Own,PA
27,Female,30,Married,3,Graduate,Employed,Business,Own,GA
28,Male,40,Single,0,Postgraduate,Employed,Professional,Own,MI
29,Female,36,Single,1,High School,Self-Employed,Business,Rent,MI
30,Female,46,Divorced,1,Postgraduate,Self-Employed,Business,Own,UT
31,Male,28,Divorced,2,High School,Employed,Salaried,Rent,GA
32,Female,27,Married,0,High School,Self-Employed,Professional,Own,WA
33,Female,26,Single,1,Graduate,Employed,Freelancer,Rent,FL
34,Female,59,Married,0,Graduate,Employed,Freelancer,Other,FL
35,Female,29,Married,3,Graduate,Employed,Freelancer,Other,GA
36,Female,53,Married,0,Graduate,Self-Employed,Freelancer,Own,CA
37,Female,39,Single,0,High School,Employed,Freelancer,Own,NH
38,Female,38,Married,1,High School,Unemployed,Business,Own,TX
39,Male,37,Married,3,Postgraduate,Self-Employed,Salaried,Own,PA
40,Male,41,Married,0,High School,Self-Employed,Business,Own,CA
41,Male,46,Married,1,Graduate,Employed,Professional,Own,HI
42,Female,47,Single,2,Postgraduate,Self-Employed,Freelancer,Own,WA
43,Male,29,Married,1,High School,Self-Employed,Professional,Own,FL
44,Female,59,Married,1,Graduate,Self-Employed,Freelancer,Own,MA
45,Female,34,Married,1,Graduate,Self-Employed,Freelancer,Rent,NV
46,Male,41,Married,3,Graduate,Self-Employed,Business,Rent,OK
47,Female,43,Married,1,Graduate,Self-Employed,Salaried,Own,NJ
48,Male,46,Married,3,Graduate,Self-Employed,Business,Own,OH
49,Male,47,Single,3,High School,Self-Employed,Salaried,Own,IL
50,Male,49,Divorced,1,Graduate,Employed,Business,Own,CA
51,Male,61,Single,1,Postgraduate,Employed,Salaried,Own,TX
52,Female,45,Single,0,Graduate,Employed,Salaried,Own,AZ
53,Male,19,Married,2,Graduate,Unemployed,Salaried,Own,FL
54,Male,20,Single,1,Postgraduate,Employed,Business,Other,CA
55,Female,39,Single,3,Graduate,Self-Employed,Business,Rent,NY
56,Male,30,Single,0,Graduate,Employed,Professional,Own,WI
57,Female,28,Single,0,High School,Employed,Business,Own,CT
58,Male,45,Married,1,Graduate,Employed,Freelancer,Own,TX
