applicant_id,annual_income,monthly_expenses,credit_score,existing_loans,total_existing_loan_amount,outstanding_debt,bank_acc_history
1,139901,2533,743,0,10942,19822,8
2,21162,4041,468,1,48731,18321,9
3,27815,3453,389,2,6925,13851,7
4,137853,2732,778,0,42016,28608,9
5,81753,1648,752,2,31747,8780,1
6,149372,2976,793,0,2635,4453,4
7,123266,1118,707,0,15843,28872,2
8,59889,4622,349,2,12436,29440,4
9,121626,2511,803,0,9919,13940,4
10,38330,4523,599,2,4325,19381,4
11,54670,4969,772,1,28940,22104,6
12,45368,1746,311,2,4949,24498,7
13,39362,2534,332,2,40843,9411,9
14,114706,3895,789,0,27122,1043,3
15,83938,3444,756,1,43969,14421,5
16,126106,3076,826,0,46817,24028,5
17,141776,2887,745,1,16401,28232,9
18,73388,1024,821,0,39869,21641,0
19,136354,3703,806,1,26560,6546,3
20,98808,2975,843,0,9826,19231,1
21,76173,1323,752,2,3851,29337,6
22,112335,2636,815,2,19895,24735,3
23,59576,1966,748,2,2901,16499,3
24,75902,4412,808,2,38696,4475,0
25,76130,3789,808,0,19161,10197,4
26,25512,3437,444,1,49345,1466,8
27,83447,3687,794,2,2841,19771,7
28,73963,4692,741,1,34053,3495,8
29,127788,4444,784,0,41825,1942,5
30,104806,4972,839,2,47381,1269,7
31,67933,1594,742,0,23309,13179,8
32,111334,4928,842,2,28057,7520,1
33,99270,3883,712,0,14504,13508,6
34,42620,4689,391,1,27323,20923,7
35,39883,2928,510,1,47837,19322,1
36,66047,849,482,0,42842,16363,9
37,140024,3496,825,1,30144,21141,7
38,56434,4714,760,1,44072,14797,9
39,88355,3157,752,0,39101,26645,8
40,138057,4469,726,1,49996,8323,2
41,51249,1891,815,2,20168,22824,0
42,67520,4023,843,1,34107,5958,0
43,122670,3948,723,0,47607,19881,3
44,67367,1815,418,1,40511,27294,6
45,134031,3080,812,0,20736,28911,6
46,116852,3954,741,1,38210,17280,7
47,122278,4560,828,0,20248,5386,1
48,52600,2669,794,1,32961,28914,6
49,60103,1176,847,0,35354,788,5
50,64215,549,782,1,20182,19492,2
51,24428,1093,548,0,9292,17323,3
52,33432,1751,357,0,17881,13599,7
53,32418,1717,587,0,37560,22349,4
54,41190,2918,511,2,41654,18678,8
55,63611,1868,846,0,16021,285,6
56,43060,1835,306,1,17048,4879,1
57,120324,3705,720,0,41166,10525,9
58,126335,3783,756,0,16291,14334,6
59,143063,2401,788,1,22407,10490,9
60,106339,3492,827,1,38747,3190,7
61,127737,4816,777,0,29781,8134,7
62,148537,1408,849,1,15771,18477,1
63,32920,2753,385,1,35987,7125,2
64,64093,2296,807,2,32765,4132,5
65,104510,3578,772,1,42942,21722,8
66,94133,2377,795,0,31882,29162,5
67,122542,1907,744,2,35412,9871,2
68,57570,4022,473,2,19301,13054,3
69,69760,1179,753,0,12975,20200,0
70,69578,2278,578,1,19872,15772,1
71,36908,2117,486,2,32759,3811,8
72,57231,4387,776,2,48420,27872,0
73,73735,1623,795,2,36627,22058,7
74,32625,2006,393,0,20021,11026,9
75,55882,1855,343,1,33737,6135,3
76,43008,2442,364,1,43328,177,0
77,25233,2157,500,0,29026,5905,5
78,96440,3063,773,1,24091,11162,8
79,109631,2318,744,2,17351,1826,2
80,142307,4963,754,0,23783,3183,6
81,37539,2887,336,1,49896,19749,0
82,129380,1557,783,2,40693,4720,7
83,149375,4464,817,1,45074,1686,9
84,71260,902,728,1,19517,12570,9
85,135220,3057,823,1,43294,25786,8
86,70684,878,785,2,5830,27409,7
87,67283,4000,568,0,3935,200,4
88,88507,4612,841,0,4480,17424,5
89,44493,4989,593,0,27009,10449,6
90,88124,3425,727,0,19694,29696,5
91,131192,2215,823,2,25467,23923,8
92,50569,3826,518,1,39389,2280,3
93,57948,4743,561,1,8069,17606,9
94,103775,3036,765,0,32188,23664,2
95,63742,4367,455,2,26135,11287,4
96,123775,2700,773,2,3150,18475,5
97,56089,3386,823,0,26096,9860,0
98,102144,4368,770,2,6393,20072,6
99,118209,3259,796,1,30979,3438,0
100,112560,2852,802,0,318,3543,7
101,143783,3379,725,1,33778,12932,4
102,74599,4776,798,0,32177,8876,4
103,52665,4472,793,2,49387,20339,9
104,139214,2602,713,0,44270,18648,1
105,57629,3078,432,2,11317,15767,4
106,108143,4118,708,2,30703,17413,0
107,105508,4244,730,0,15382,21345,6
108,34907,3184,463,0,2470,5040,5
109,96672,4210,709,0,42088,1878,6
110,106180,4531,809,0,5592,22604,4
111,126601,952,833,2,39783,17915,6
112,87378,2256,773,2,39599,29728,1
113,61410,3344,475,0,5019,16937,7
114,37979,2481,440,0,47153,7678,3
115,136706,4303,721,1,2100,997,4
116,43332,3274,398,1,35830,27813,8
117,63314,1285,342,0,36400,25674,8
118,137955,1298,734,2,30053,4107,6
119,51222,990,440,1,25771,2849,4
120,60565,3416,745,1,12168,9521,9
121,64584,2712,554,0,17296,28858,7
122,36440,2633,461,2,672,27216,9
123,101200,4098,786,2,10311,16307,0
124,57752,1516,715,0,1830,22695,1
125,100814,2452,720,1,46635,12786,0
126,106351,1504,762,0,46686,20418,0
127,35323,2279,572,2,21650,28767,6
128,61427,3911,569,1,47060,12497,3
129,94491,2017,739,2,4693,5617,9
130,137815,3570,791,2,48380,10900,2
131,98424,1983,700,0,6612,28709,7
132,126974,1508,808,0,436,7037,7
133,115813,1134,835,0,15016,29279,6
134,122024,2461,780,1,26735,14350,1
135,50850,620,555,1,12972,11561,3
136,90036,2226,772,1,520,25737,2
137,111979,3132,761,1,46628,7447,6
138,63263,3560,502,1,7817,20390,7
139,71974,2612,843,0,30660,2822,9
140,63774,3393,595,2,40933,13116,7
141,34831,1857,556,0,103,28649,5
142,68641,2898,800,2,24655,1123,2
143,58453,2391,760,0,15398,5486,7
144,144508,2472,787,0,42460,1546,3
145,122800,635,820,2,15993,15219,7
146,85163,4310,774,2,14033,16914,4
147,105542,2681,837,1,34765,14222,0
148,65320,1759,760,1,1533,11448,9
