applicant_id,default_risk,loan_approval_status
1,0.81,1
2,0.17,0
3,0.25,0
4,0.27,1
5,0.32,1
6,0.99,1
7,0.56,1
8,0.45,0
9,0.54,0
10,0.22,1
11,0.68,1
12,0.83,0
13,0.63,1
14,0.13,1
15,0.29,1
16,0.54,1
17,0.33,1
18,0.09,1
19,0.69,1
20,0.28,1
21,0.48,0
22,0.26,0
23,0.72,1
24,0.06,0
25,0.76,1
26,0.47,1
27,0.51,1
28,0.64,1
29,0.46,1
30,0.06,1
31,0.24,0
32,0.37,1
33,0.93,1
34,0.08,0
35,0.24,0
36,0.71,0
37,0.94,1
38,0.12,1
39,0.67,1
40,0.23,1
41,0.78,1
42,0.55,1
43,0.95,1
44,0.16,0
45,0.76,0
46,0.39,0
47,0.75,1
48,0.41,1
49,0.9,1
50,0.89,0
51,0.86,0
52,0.25,0
53,0.2,1
54,0.6,0
55,0.47,1
56,0.9,0
57,0.12,1
58,0.44,1
59,0.22,1
60,0.22,0
61,0.13,1
62,0.82,1
63,0.47,0
64,0.37,1
65,0.62,1
66,0.88,1
67,0.56,1
68,0.75,0
69,0.96,0
70,0.07,0
71,0.22,0
72,0.69,1
73,0.95,1
74,0.18,0
75,0.67,1
76,0.63,1
77,0.08,0
78,0.22,1
79,0.23,1
80,0.44,1
81,0.07,0
82,0.26,1
83,0.02,1
84,0.16,1
85,0.31,1
86,0.12,1
87,0.37,0
88,0.26,1
89,0.32,0
90,0.49,1
91,0.53,1
92,0.8,0
93,0.83,1
94,0.84,0
95,0.6,0
96,0.97,1
97,0.94,1
98,0.59,1
99,0.25,1
100,0.94,0
101,0.15,1
102,0.91,1
103,0.76,1
104,0.28,0
105,0.28,0
106,0.85,0
107,0.14,1
108,0.17,1
109,0.03,1
110,0.3,1
111,0.71,1
112,0.61,1
113,0.53,0
114,0.05,0
115,0.4,0
116,0.31,0
117,0.67,0
118,0.24,1
119,0.92,1
120,0.39,1
121,0.58,0
122,0.35,0
123,0.72,1
124,0.38,0
125,0.72,0
126,0.31,0
127,0.74,1
128,0.21,0
129,0.9,1
130,0.65,1
131,0.34,1
132,0.08,1
133,0.07,1
134,0.15,0
135,0.18,1
136,0.43,1
137,0.52,1
138,0.07,0
139,0.14,1
140,0.35,1
141,1,0
142,0.29,0
143,0.25,0
144,0.85,1
145,0.94,1
146,0.78,1
147,0.37,1
148,0.12,1
149,0.9,1
150,1,1
151,0.45,0
152,0.99,1
153,0.87,1
154,0.1,0
155,0.26,0
156,0.49,1
157,0.38,1
158,0.86,0
159,0.16,1
160,0.32,0
161,0.58,1
162,0.73,1
163,0.78,1
164,0.42,1
165,0.24,1
166,0.58,0
167,0.1,1
168,0.18,0
169,0.87,1
170,0.3,0
171,0.83,1
172,0.5,1
173,0.92,1
174,0.78,1
175,1,1
176,0.15,1
177,0.43,0
178,0.75,1
179,0.12,0
180,0.35,1
181,0.07,1
182,0.56,1
183,0.82,0
184,0.71,1
185,0.88,0
186,0.98,1
187,0.23,0
188,0.34,1
189,0.96,1
190,0.42,1
191,0.94,1
192,0.47,0
193,0.08,0
194,0.47,1
195,0.91,1
196,0.34,1
197,0.24,0
198,0.38,0
199,0.82,0
200,0.97,0
201,0.25,1
202,0.96,1
203,0.47,1
204,0.01,0
205,0.11,1
206,0.31,1
207,0.41,1
208,0.67,1
209,0.24,1
210,0.57,1
211,0.86,1
212,0.64,1
213,0.56,1
214,0.24,1
215,0.6,0
216,0.56,0
217,0.82,1
218,0.71,0
219,0.35,0
220,0.79,0
221,0.4,1
222,0.84,1
223,0.52,0
224,0.02,1
225,0.91,1
226,0.92,1
227,0.08,1
228,0.91,1
229,0.21,0
230,0.08,1
231,0.03,0
232,0.98,0
233,0.89,1
234,0.19,1
235,0.61,1
236,0.84,0
237,0.2,1
238,0.51,1
239,0.41,0
240,0.22,1
241,0.72,0
242,0.79,0
243,0.85,0
244,0.03,0
245,0.94,1
246,0.54,0
247,0.17,1
248,0.09,0
249,0.87,0
250,0.11,0
251,0.82,1
252,0.5,1
253,0.22,0
254,0.23,1
255,0.49,1
256,0.74,1
257,0.07,0
258,0.31,1
259,0.86,1
260,0.52,1
261,0.33,1
262,0.24,0
263,0.15,1
264,0.36,1
265,0.61,0
266,0.11,0
267,0.6,0
268,0.35,0
269,0.85,0
270,0.68,0
271,0.51,0
272,0.28,0
273,0.54,1
274,0.3,0
275,0.37,1
276,0.3,1
277,0.57,0
278,0.81,1
279,0.92,0
280,0.16,0
281,0.39,0
282,0.15,1
283,0.13,1
284,0.04,1
285,0.08,1
286,0.46,1
287,0.51,1
288,0.12,1
289,0.58,1
290,0.41,1
291,0.9,1
292,0.19,1
293,0.11,0
294,0.07,1
295,0.65,1
296,0.97,1
297,0.03,0
298,0.62,1
299,0.85,1
300,0.72,1
301,0.57,1
302,0.76,1
303,0.31,1
304,0.57,1
305,0.91,1
306,0.84,1
307,0.09,1
308,0.26,1
309,0.19,1
310,0.19,1
311,0.63,1
312,0.06,0
313,0.89,1
314,0.95,0
315,0.21,0
316,0.22,1
317,0.74,1
318,0.21,1
319,0.85,1
320,0.24,1
321,0.27,1
322,0.82,0
323,0.32,0
324,0.58,1
325,0.53,0
326,0.57,0
327,0.65,1
328,0.34,1
329,0.61,1
330,0.49,0
331,0.83,1
332,0.91,1
333,0.6,1
334,0.25,1
335,0.05,1
336,0.01,1
337,0.97,0
338,0.22,0
339,0.95,1
340,0.6,0
341,0.03,1
342,0.12,1
343,0.82,1
344,0.41,1
345,0.36,1
346,0.95,1
347,0.92,1
348,0.77,1
349,0.36,1
350,0.91,1
351,0.4,1
352,0.51,0
353,0.59,0
354,0.22,1
355,0.12,1
356,0.4,1
357,0.07,0
358,0.32,0
359,0.77,0
360,0.09,1
361,0.11,1
362,0.44,0
363,0.93,1
364,0.05,1
365,0.73,0
366,0.2,1
367,0.39,0
368,0.65,1
369,0.32,1
370,0.12,1
371,0.83,1
372,0.97,1
373,0.95,1
374,0.02,1
375,0.79,1
376,0.6,1
377,0.31,0
378,0.7,1
379,0.53,0
380,0.01,1
381,0.34,1
382,0.13,1
383,0.71,1
384,0.92,0
385,0.41,0
386,0.59,0
387,0.93,1
388,0.71,1
389,0.26,1
390,0.83,0
391,0.19,0
392,0.61,1
393,0.07,0
394,0.92,0
395,0.56,1
396,0.54,1
397,0.12,0
398,0.53,1
399,0.49,0
400,0.42,1
401,0.25,0
402,0.56,0
403,0.03,1
404,0.31,0
405,0.02,1
406,0.07,0
407,0.43,1
408,0.94,1
409,0.23,0
410,0.45,1
411,0,1
412,0.66,0
413,0.47,1
414,0.15,1
415,0.12,1
416,0.43,1
417,0.56,1
418,0.68,1
419,0.82,1
420,0.13,0
421,0.89,0
422,0.7,1
423,0.71,1
424,0.29,0
425,0.13,1
426,0.3,1
427,0.61,1
428,0.75,0
429,0.69,1
430,0.54,1
431,0.42,1
432,0.95,0
433,0.11,0
434,0.25,1
435,0.63,1
436,0.77,0
437,0.6,1
438,0.69,1
439,0.88,0
440,0.23,1
441,0.26,1
442,0.19,0
443,0.2,1
444,0.41,1
445,0.05,0
446,0.13,1
447,0.99,0
448,0.14,0
449,0.21,1
450,0.24,0
451,0.76,0
452,0.8,1
453,0.67,0
454,0.78,0
455,0.99,1
456,0.05,1
457,0.74,0
458,0.23,1
459,0.79,0
460,0.49,1
461,0.35,1
462,0.09,1
463,0.94,1
464,0.99,1
465,0.64,0
466,0.24,1
467,0.5,1
468,0.7,0
469,0.62,1
470,0.28,0
471,0.72,1
472,0.28,0
473,0.79,1
474,0.73,0
475,0.95,1
476,0.82,0
477,0.82,1
478,0.82,1
479,0.25,0
480,0.6,0
481,0.51,1
482,0.76,1
483,0.05,0
484,0.26,0
485,0.8,1
486,0.59,0
487,0.37,1
488,0.91,0
489,0.39,0
490,0.77,0
491,0.66,0
492,0.08,1
493,0.23,1
494,0.37,1
495,0.54,1
496,0.69,1
497,0.49,1
498,0.51,0
499,0.5,0
500,0.13,0
501,0.61,1
502,0.11,1
503,0.7,1
504,0.3,0
505,0.86,1
506,0.58,1
507,0.15,0
508,0.79,0
509,0.89,1
510,0.36,0
511,0.64,1
512,0.49,1
513,0.25,1
514,0.79,0
515,0.85,1
516,0.4,1
517,0.41,1
518,0.09,0
519,0.96,0
520,0.93,1
521,0.7,1
522,0.16,1
523,0.67,0
524,0.06,0
525,0.2,0
526,0.49,1
527,0.86,1
528,0.25,1
529,0.21,1
530,0.84,0
531,0.68,1
532,0.22,1
533,0.07,0
534,0.63,0
535,0.96,1
536,0.56,0
537,0.81,0
538,0.09,0
539,0.54,1
540,0.54,1
541,0.73,1
542,0.61,1
543,0.91,1
544,0.15,1
545,0.9,0
546,0.72,0
547,0.2,1
548,0.75,1
549,0.73,1
550,0.27,0
551,0.98,0
552,0.01,0
553,0.7,1
554,0.47,1
555,0.72,0
556,0.46,1
557,0.49,1
558,0.76,1
559,0.09,0
560,0.47,1
561,0.91,0
562,0.25,1
563,0.6,1
564,0.3,1
565,0.62,1
566,0.57,1
567,0.48,1
568,0.43,0
569,0.48,1
570,0.94,1
571,0.13,1
572,0.77,0
573,0.97,1
574,0.22,1
575,0.36,0
576,0.56,0
577,0.16,1
578,0.1,0
579,0.43,1
580,0.83,1
581,0.91,1
582,0.16,0
583,0.95,1
584,0.29,1
585,0.01,1
586,0.31,1
587,0.49,1
588,0.38,1
589,0.07,1
590,0.26,1
591,0.87,1
592,0.59,1
593,0.52,0
594,0.29,1
595,0.01,0
596,0.03,1
597,0.73,1
598,0.36,1
599,0.58,1
600,0.8,1
601,0.18,1
602,0.81,1
603,0.27,1
604,0.02,1
605,0.05,1
606,0.15,1
607,0.58,1
608,0.45,1
609,0.22,1
610,0.8,1
611,0.96,0
612,0.7,1
613,0.31,1
614,0.33,0
615,0.79,0
616,0.46,0
617,0.19,1
618,0.35,1
619,0.92,0
620,0.33,0
621,0.47,1
622,0.23,1
623,0.74,1
624,0.68,0
625,0.85,0
626,0.72,1
627,0.3,1
628,0.24,0
629,0.37,1
630,0.62,1
631,0.73,0
632,0.26,0
633,0.26,1
634,0.26,1
635,0.13,1
636,0.77,1
637,0.25,1
638,0.5,0
639,0.44,1
640,0.86,1
641,0.8,1
642,0.85,1
643,0.91,0
644,0.83,1
645,0.89,1
646,0.85,0
647,0.28,0
648,0.57,1
649,0.67,0
650,0.84,1
651,0.49,1
652,0,1
653,0.59,1
654,0.06,0
655,0.96,1
656,0.18,1
657,0.88,1
658,0.14,1
659,0.83,1
660,0.84,1
661,0.11,1
662,0.98,0
663,0.27,1
664,0.66,1
665,0.33,1
666,0.31,0
667,0.09,1
668,0.3,1
669,0.51,1
670,0.4,1
671,0.86,1
672,0.8,0
673,0.19,0
674,0.95,1
675,0.33,1
676,0.39,0
677,0.81,1
678,0.26,1
679,0.25,0
680,0.21,1
681,0.1,0
682,0.79,1
683,0.73,1
684,1,1
685,0.54,0
686,0.92,1
687,0.58,1
688,0.41,0
689,0.83,0
690,0.46,1
691,0.9,1
692,0.49,1
693,0.95,0
694,0.43,1
695,0.54,1
696,0.25,1
697,0.73,1
698,0.26,1
699,0.72,1
700,0.97,1
701,0.75,1
702,0.77,1
703,0.03,1
704,0.9,1
705,0.33,1
706,0.07,0
707,0.56,1
708,0.13,0
709,0.18,1
710,0.29,1
711,0.41,0
712,0.59,1
713,0.66,1
714,0.11,1
715,0.21,0
716,0.7,0
717,0.07,0
718,0.85,0
719,0.99,0
720,0.16,0
721,0.08,0
722,0.03,1
723,0.84,1
724,0.9,0
725,0.94,1
726,0.08,0
727,0.03,0
728,0.96,0
729,0.72,1
730,0.69,1
731,0.41,1
732,0.47,0
733,0.47,1
734,0.88,1
735,0.38,1
736,0.8,0
737,0.22,1
738,0.75,1
739,0.13,1
740,0.88,1
741,0.1,1
742,0.12,1
743,0.3,0
744,0.9,1
745,0.74,1
746,0.29,0
747,0.7,1
748,0.05,1
749,0.1,0
750,0.63,1
751,0.35,1
752,0.2,1
753,0.84,1
754,0.99,0
755,0.39,1
756,0.11,0
757,0.67,1
758,0.55,1
759,0.69,0
760,0.13,0
761,0.35,1
762,0.62,1
763,0.59,1
764,0.44,0
765,0.35,1
766,0.02,1
767,0.78,0
768,0.49,0
769,0.13,0
770,0.57,0
771,0.62,1
772,0.87,0
773,0.58,1
774,0.04,1
775,1,0
776,0.78,0
777,0.34,1
778,0.86,0
779,0.69,0
780,0.23,1
781,0.91,1
782,0.57,1
783,0.76,1
784,0.4,1
785,0.45,1
786,0.01,0
787,0.08,1
788,0.2,1
789,0.79,1
790,0.13,0
791,0.67,1
792,0.38,1
793,0.94,1
794,0.09,1
795,0.48,1
796,0.69,0
797,0.58,1
798,0.05,0
799,0.82,0
800,0.76,0
801,0.27,0
802,0.98,1
803,0.73,0
804,0.28,1
805,0.19,1
806,0.01,0
807,0.61,0
808,0.41,0
809,0.68,1
810,0.34,1
811,0.77,1
812,0.31,0
813,0.98,1
814,0.48,1
815,0.94,0
816,0.53,1
817,0.54,1
818,0.22,1
819,0.49,1
820,0.73,1
821,0.54,0
822,0.58,1
823,0.85,1
824,0.64,1
825,0.13,1
826,0.24,0
827,0.86,1
828,0.28,0
829,0.75,0
830,0.38,0
831,0.32,1
832,0.13,0
833,0.58,1
834,0.47,1
835,0.24,1
836,0.94,1
837,0.46,0
838,0.66,1
839,0.07,0
840,0.1,1
841,0.1,1
842,0.94,1
843,0.91,1
844,0.14,1
845,0.31,1
846,0.56,1
847,0.83,1
848,0.56,0
849,0.13,1
850,0.9,1
851,0.82,1
852,0.8,1
853,0.32,1
854,0.14,0
855,0.09,1
856,0.98,1
857,0.33,0
858,0.92,1
859,0.67,1
860,0,1
861,0.64,0
862,0.36,1
863,0.02,1
864,0.57,1
865,0.03,0
866,0.76,0
867,0.55,1
868,0.19,1
869,1,0
870,0.22,0
871,0.9,1
872,0.95,0
873,0.47,1
874,0.02,0
875,0.39,1
876,0.98,1
877,0.63,0
878,0.85,0
879,0.88,1
880,0.03,1
881,0.1,1
882,0.22,1
883,0.66,1
884,0.61,1
885,0.99,0
886,0.91,0
887,0.99,0
888,0.49,1
889,0.21,1
890,0.86,1
891,0.39,1
892,0.96,1
