applicant_id,loan_history,loan_amount_requested,loan_term,loan_purpose,interest_rate,loan_type,co-applicant,transaction_frequency
1,0,24535,209,Home,4.27,Secured,Yes,20
2,0,8288,33,Home,14.78,Unsecured,Yes,9
3,0,10308,159,Vehicle,12.33,Secured,Yes,27
4,1,33937,39,Personal,8.77,Secured,No,16
5,1,23360,34,Home,9.04,Unsecured,No,17
6,0,30056,111,Education,4.98,Unsecured,Yes,14
7,0,34707,192,Personal,7.35,Unsecured,Yes,13
8,0,10583,81,Vehicle,13.49,Unsecured,No,21
9,0,20239,101,Home,13.53,Secured,Yes,18
10,0,15084,164,Personal,14.07,Secured,No,19
11,0,20000,158,Home,6.74,Unsecured,No,8
12,0,15496,226,Vehicle,8.6,Secured,Yes,7
13,0,13170,203,Education,5.31,Secured,Yes,5
14,0,31437,234,Education,5.81,Unsecured,Yes,27
15,0,22519,44,Personal,13.39,Unsecured,No,9
16,0,36921,83,Vehicle,10.61,Unsecured,No,14
17,1,25115,175,Home,13.17,Unsecured,No,14
18,0,20347,157,Education,8.56,Secured,No,25
19,0,20651,70,Home,12.51,Unsecured,Yes,6
20,0,22547,51,Home,8.72,Secured,Yes,29
21,0,21185,122,Education,9.65,Unsecured,No,25
22,0,20804,39,Personal,12.47,Secured,No,11
23,0,20000,111,Education,8.27,Unsecured,No,8
24,0,21091,133,Home,14.43,Unsecured,No,22
25,0,22559,119,Home,12.62,Unsecured,Yes,24
26,1,5605,44,Home,8.03,Unsecured,Yes,14
27,0,21241,161,Education,5.4,Unsecured,Yes,23
28,0,20696,41,Home,6.44,Unsecured,No,16
29,0,35810,100,Home,10.02,Unsecured,Yes,28
30,1,23447,42,Home,5.99,Unsecured,No,8
31,1,20249,45,Personal,13.17,Secured,No,9
32,0,32288,184,Home,9.19,Secured,No,25
33,0,26828,192,Personal,6.6,Secured,No,9
34,0,14659,196,Home,5.03,Unsecured,No,20
35,0,9056,44,Home,14.16,Secured,Yes,21
36,0,24795,124,Education,3.97,Secured,Yes,26
37,1,34924,87,Home,7.29,Unsecured,Yes,28
38,0,20000,47,Home,10.47,Secured,Yes,28
39,0,23097,229,Education,14.68,Unsecured,Yes,28
40,0,31869,74,Home,7.27,Secured,No,27
41,0,20000,120,Home,4.78,Unsecured,Yes,5
42,0,20017,54,Home,5.07,Secured,Yes,19
43,0,24781,143,Vehicle,10.66,Unsecured,No,9
44,0,13580,156,Home,8.52,Secured,No,8
45,1,36100,85,Personal,11.24,Unsecured,No,12
46,0,23742,149,Home,4.12,Unsecured,Yes,28
47,0,20342,197,Vehicle,13.13,Secured,No,22
48,0,20000,81,Education,3.87,Secured,No,17
49,0,20000,41,Personal,11.67,Unsecured,No,17
50,0,20000,81,Home,4.5,Unsecured,Yes,18
51,0,6342,181,Home,13.78,Secured,No,19
52,0,6055,190,Home,9.67,Secured,Yes,18
53,0,11224,73,Education,7.35,Unsecured,No,19
54,1,9663,74,Home,13.35,Unsecured,Yes,17
55,0,20000,54,Home,12.79,Unsecured,Yes,9
56,0,9244,160,Education,9.76,Unsecured,No,8
57,0,29625,32,Education,5.63,Secured,Yes,28
58,1,20464,40,Home,5.93,Unsecured,No,21
59,0,32776,224,Education,8.41,Unsecured,No,17
60,0,28112,193,Vehicle,4.73,Secured,Yes,19
61,1,32997,213,Personal,13.95,Unsecured,No,15
62,1,24363,40,Personal,14.11,Secured,No,14
63,1,6749,26,Home,14.18,Unsecured,No,23
64,0,20000,147,Education,3.74,Unsecured,Yes,27
65,0,22924,89,Vehicle,9.26,Unsecured,Yes,25
66,0,22170,200,Education,12.69,Unsecured,Yes,9
67,0,24127,198,Education,10.94,Unsecured,Yes,16
68,0,13185,93,Home,8.37,Secured,No,29
69,0,20122,123,Personal,5.99,Secured,Yes,6
70,0,26182,76,Home,12.44,Secured,No,10
71,0,6651,142,Education,3.67,Unsecured,Yes,27
72,0,20000,186,Home,6.36,Secured,No,25
73,0,20335,164,Education,5.67,Secured,No,11
74,0,11885,53,Education,4.49,Secured,Yes,20
75,1,19530,67,Education,4.95,Unsecured,No,21
76,1,12571,236,Vehicle,11.8,Secured,Yes,24
